Course Title,,Tags,,
Ментальный SMM,smm маркетинг социальные сети продвижение реклама контент стратегия,"['Маркетинговая деятельность', 'Поиск, сбор и анализ информации', 'Умение продвигать товары и\xa0услуги', 'Ориентация на потребителя услуг и его информирование']",,
Менеджер по продажам,менеджер продажи sales продавец бизнес клиенты переговоры сделки,"['Планирование закупок и продаж товара', 'Выявление и учет потенциальных покупателей', 'Анализ продаж и прибыльности отдельных товаров']",,
Основы программирования,программирование код разработка software development языки программирования it технологии компьютер алгоритмы программист начинающий,"['Кодирование и реализация web-ресурса', 'Координация регистрации ошибок тестирования приложений', 'Написание кода на языках программирования']",,
Управление проектами,управление проектами project management менеджмент планирование организация контроль команда agile скрам методология,"['Установление рисков и обеспечение предупреждающих мер', 'Организация труда и управление персоналом', 'Подбор квалифицированных кадров', 'Формирование кадровой политики', 'Ведение делопроизводства', 'Внесение предложений по структуре и штатам', 'Решение вопросов кадрового обеспечения']",,
Упаковка бизнесов,упаковка бизнес маркетинг брендинг продвижение стратегия развитие продажи позиционирование,"['Дизайн и макетирование Web-страниц', 'Подготовка графических материалов для включения в графический интерфейс', 'Разработка интерактивного дизайна в проекте', 'Верстка страниц web-сайта']",,
Мобилография,мобилография фото видео смартфон мобильная съемка контент визуал инстаграм социальные сети,['Маркетинговая деятельность'],,
Web-дизайн,веб дизайн сайт разработка ui ux интерфейс web верстка html css графика,"['Дизайн и макетирование Web-страниц', 'Подготовка графических материалов для включения в графический интерфейс', 'Верстка страниц web-сайта']",,
Интернет-маркетинг,интернет маркетинг digital marketing smm реклама продвижение контент стратегия таргетинг seo,"['Маркетинговая деятельность', 'Разработка маркетинговых мероприятий для продвижения товара', 'Информирование о маркетинговых акциях, продуктах и специальных предложений', 'Умение продвигать товары и\xa0услуги']",,
Контент-менеджер,контент менеджер сайт администрирование cms наполнение web редактирование копирайтинг,"['Маркетинговая деятельность', 'Поиск, сбор и анализ информации', 'Проведение рекламных презентаций для клиентов', 'Разработка маркетинговых мероприятий для продвижения товара', 'Информирование о маркетинговых акциях, продуктах и специальных предложений', 'Умение продвигать товары и\xa0услуги']",,
"Кадровое администрирование в ИС ""Фаворит""",кадры администрирование ис фаворит hr документация учет персонал программа автоматизация,"['Нормирование труда', 'Ведение делопроизводства', 'Решение вопросов кадрового обеспечения']",,
Страховой агент,страхование агент страховой полис продажи консультирование риски финансы клиенты,"['Оформления страховых документов и их сохранность', 'Выявление и учет потенциальных клиентов и объектов страхования', 'Заключение договоров имущественного и личного страхования']",,
Основы конструкции автомобиля и компьютерной диагностики легковых и грузовых автомобилей,автомобиль конструкция диагностика компьютер техника ремонт механика устройство двигатель,"['Разборка средней сложности узлов и механизмов оборудования и машин', 'Качественное ТО автомобиля', 'Ремонт и замена частей автомобиля', 'Знания принципов и устройств работы автомобилей разных марок и моделей', 'Обнаружение неисправностей автотранспортных средств (автобусов)']",,
Обучение основам предпринимательства в рамках проекта «Бастау Бизнес»,бастау бизнес предпринимательство обучение основы бизнес проект startup начинающий предприниматель,"['Понимание бизнеса', 'Управление изменениями', 'Знание продукта', 'Проведение обзоров и мониторинг цен', 'Проведение опросов и исследований', 'Построение бизнес-моделей']",,
Как получать услуги в сфере трудоустройства онлайн?,трудоустройство онлайн услуги работа занятость электронные сервисы цифровые технологии,['Проведение информационно - консультативной работы'],,
Как составить качественное резюме?,резюме составление вакансия работа карьера hr трудоустройство рекрутинг,"['Письменные коммуникативные навыки', 'Рефлексия', 'Критическое мышление']",,
Налоговый отчет форма 300.00. НДС,налоги ндс отчетность форма 300 бухгалтерия учет декларация финансы,"['Ведение установленных форм учета', 'Ведение бухгалтерского учета и отчетности']",,
«Бастау Бизнес» жобасы шеңберінде кәсіпкерлік негіздеріне оқыту,бастау бизнес кәсіпкерлік оқыту негіз бизнес жоба startup кәсіпкер,"['Понимание бизнеса', 'Управление изменениями', 'Знание продукта', 'Проведение обзоров и мониторинг цен', 'Проведение опросов и исследований', 'Построение бизнес-моделей']",,
Единая цифровая экосистема занятости населения,занятость цифровая экосистема трудоустройство электронные услуги автоматизация технологии,['Проведение информационно - консультативной работы'],,
Халықты жұмыспен қамтудың бірыңғай цифрлық экожүйесі,жұмыспен қамту цифрлық экожүйе электрондық қызмет автоматтандыру технология,['Проведение информационно - консультативной работы'],,
Продавец,продавец торговля продажи обслуживание клиенты розница магазин коммерция,"['Продажа продовольственных товаров', 'Консультирование по вопросам характеристик товара']",,
Как пройти обучение по проекту «Бастау Бизнес»?,бастау бизнес обучение проект предпринимательство курс startup регистрация,"['Понимание бизнеса', 'Управление изменениями', 'Проведение опросов и исследований']",,
«Бастау Бизнес» жобасы бойынша оқудан қалай өтуге болады?,бастау бизнес оқыту жоба кәсіпкерлік курс startup тіркеу,"['Понимание бизнеса', 'Управление изменениями', 'Проведение опросов и исследований']",,
Как получить государственный грант?,грант государственный поддержка финансирование бизнес предпринимательство конкурс,"['Понимание бизнеса', 'Управление изменениями', 'Проведение опросов и исследований', 'Построение бизнес-моделей']",,
Мясное животноводство,животноводство мясное скот ферма разведение сельское хозяйство производство мясо,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Птицеводство,птицеводство куры птица ферма разведение сельское хозяйство производство мясо,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Садоводство,садоводство сад фрукты ягоды растения агротехника выращивание урожай,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Овощеводство,овощеводство овощи теплица агротехника выращивание урожай производство,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Мемлекеттік грантты қалай алуға болады?,мемлекеттік грант қолдау қаржыландыру бизнес кәсіпкерлік конкурс,"['Понимание бизнеса', 'Управление изменениями', 'Проведение опросов и исследований', 'Построение бизнес-моделей']",,
Выращивание зерновых культур,зерновые культуры пшеница агротехника выращивание урожай производство поле,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Кормопроизводство,корм производство сельское хозяйство животноводство заготовка агротехника,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Сельскохозяйственная техника,сельхозтехника трактор комбайн машины оборудование механизация ремонт,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Альтернативные виды бизнеса на селе,альтернативный бизнес село сельское хозяйство предпринимательство развитие,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Етті мал шаруашылығы,етті мал шаруашылығы мал ферма өсіру ауыл шаруашылығы өндіріс,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Құс шаруашылығы,құс шаруашылығы тауық құс ферма өсіру ауыл шаруашылығы өндіріс,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Бағбаншылық,бағбаншылық бақ жеміс жидек өсімдік агротехника өсіру өнім,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Көкөніс шаруашылығы,көкөніс шаруашылығы көкөніс жылыжай агротехника өсіру өнім өндіріс,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Дәнді дақылдарды өсіру,дәнді дақыл бидай агротехника өсіру өнім өндіріс егістік,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Жылыжай бизнесі,жылыжай бизнес теплица көкөніс өсіру өндіріс технология,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Жемшөп өндіру,жемшөп өндіру мал азығы ауыл шаруашылығы дайындау агротехника,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Ауылдағы бизнестің баламалы түрлері,ауыл бизнес баламалы ауыл шаруашылығы кәсіпкерлік даму,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Ауылшаруашылық техникасы,ауылшаруашылық техника трактор комбайн машина жабдық механика,"['Понимание бизнеса', 'Контроль рабочих процессов', 'Построение бизнес-моделей']",,
Бизнес-идея с нуля,бизнес идея startup предпринимательство проект планирование развитие,"['Понимание бизнеса', 'Сотрудничество и взаимодействие', 'Стратегическое мышление', 'Целеустремленность', 'Построение бизнес-моделей']",,
Бизнес-идея басынан бастап,бизнес идея startup кәсіпкерлік жоба жоспарлау даму,"['Понимание бизнеса', 'Сотрудничество и взаимодействие', 'Стратегическое мышление', 'Целеустремленность', 'Построение бизнес-моделей']",,
Финансовая грамотность,финансы грамотность деньги бюджет планирование инвестиции экономика,"['Понимание бизнеса', 'Дисциплинированность', 'Контроль рабочих процессов']",,
Қаржылық сауаттылық,қаржы сауаттылық ақша бюджет жоспарлау инвестиция экономика,"['Понимание бизнеса', 'Дисциплинированность', 'Контроль рабочих процессов']",,
Основы маркетинга,маркетинг реклама продвижение продажи рынок анализ стратегия,"['Сотрудничество и взаимодействие', 'Гибкость мышления', 'Письменные коммуникативные навыки', 'Концентрация и управление вниманием', 'Поиск и анализ информации', 'Творчество и креативность', 'Контроль рабочих процессов']",,
Маркетинг негіздері,маркетинг жарнама ілгерілету сату нарық талдау стратегия,"['Сотрудничество и взаимодействие', 'Гибкость мышления', 'Письменные коммуникативные навыки', 'Поиск и анализ информации', 'Творчество и креативность', 'Контроль рабочих процессов']",,
Стандартизация в туризме. Ключ к созданию качественных услуг,туризм стандарт качество услуги сервис нормативы требования,"['Организация труда и управление персоналом', 'Соблюдение стандартов обслуживания гостей', 'Контроль обслуживания гостей в ресторане']",,
"""Жанды сабақтар"". Білім беру мен туризмді табыстырған жоба",білім туризм жоба оқыту саяхат экскурсия педагогика,"['Наставничество и обучение', 'Помощь в выборе туристских маршрутов', 'Проведение групповых и индивидуальных занятий']",,
Нарықтан оңтайлы тауаша табу және турөнім құрастыру,туризм нарық ниша турөнім құрастыру маркетинг анализ,"['Планирование экскурсий', 'Сбор информации о туроператорах, гостиницах и других партнерах', 'Комплектация туров']",,
Туризмдегі сату мен ілгерілету,туризм сату ілгерілету маркетинг жарнама менеджмент,"['Сбор информации о туроператорах, гостиницах и других партнерах', 'Взаимодействие с туристами и посетителями', 'Ведение и обновление базы данных туристских услуг']",,
Электронная налоговая отчетность,налоги отчетность электронный документооборот бухгалтерия учет онлайн,"['Ведение установленных форм учета', 'Начисление и перечисление налоговых и других обязательных платежей']",,
Животноводство,животноводство скот ферма разведение сельское хозяйство производство животные агробизнес фермерство,"['Осуществление карантинных мероприятий на животноводческих объектах', 'Обработка животных', 'Развитие животноводства']",,
Мал шаруашылығы,животноводство скот ферма разведение сельское хозяйство производство животные агробизнес фермерство,"['Осуществление карантинных мероприятий на животноводческих объектах', 'Обработка животных', 'Развитие животноводства']",,
Базовое обучение для специалистов по уходу и развитию детей,развитие детей педагогика психология воспитание обучение дошкольное образование уход специалист методика,"['Сопровождение детей в школу и из школы либо во время прогулок', 'Игра с детьми']",,
Реклама и продвижение продукции,реклама маркетинг продвижение продукция товары услуги digital smm pr стратегия бренд,"['Анализ выполнения плана продаж', 'Ведение переговоров с потенциальными покупателями', 'Поддержание стабильных продаж в торговых точках']",,
Өнімді жарнамалау және жылжыту,реклама маркетинг продвижение продукция товары услуги digital smm pr стратегия бренд,"['Анализ выполнения плана продаж', 'Ведение переговоров с потенциальными покупателями', 'Поддержание стабильных продаж в торговых точках']",,
Создание сайтов с нуля,создание сайтов веб разработка программирование верстка дизайн html css javascript начинающий,"['Подготовка графических материалов для включения в графический интерфейс', 'Проектирование и разработка back-end web-ресурса', 'Художественно-техническая разработка дизайн-проекта']",,
Сайттарды нөлден құру,создание сайтов веб разработка программирование верстка дизайн html css javascript начинающий,"['Подготовка графических материалов для включения в графический интерфейс', 'Проектирование и разработка back-end web-ресурса', 'Художественно-техническая разработка дизайн-проекта']",,
Программирование на Java для начинающих,java программирование разработка код software разработчик начинающий it технологии обучение,"['Автоматизация процессов и поддержка существующих систем аналитики', 'Написание кода на языках программирования', 'Проектирование программного обеспечения']",,
Жаңадан бастаушыларға арналған JAVA бағдарламалау,java программирование разработка код software разработчик начинающий it технологии обучение,"['Автоматизация процессов и поддержка существующих систем аналитики', 'Написание кода на языках программирования', 'Проектирование программного обеспечения']",,
Android-Разработчик приложений,android разработка мобильные приложения программирование java kotlin mobile development смартфон,"['Компиляция приложений реального времени', 'Координация проверки результатов тестирования приложений', 'Отладка программного кода приложения']",,
Android қосымшасын әзірлеуші,android разработка мобильные приложения программирование java kotlin mobile development смартфон,"['Компиляция приложений реального времени', 'Координация проверки результатов тестирования приложений', 'Отладка программного кода приложения']",,
Основы безопасности и охраны труда,безопасность охрана труда техника безопасности инструктаж нормативы требования защита здоровье,"['Координация работы по созданию и поддержанию системы техники безопасности', 'Контроль правил и инструкций по охране труда, стандартов безопасности', 'Проведение инструктажей по технике безопасности']",,
Еңбек қауіпсіздігі және еңбекті қорғау негіздері,безопасность охрана труда техника безопасности инструктаж нормативы требования защита здоровье,"['Координация работы по созданию и поддержанию системы техники безопасности', 'Контроль правил и инструкций по охране труда, стандартов безопасности', 'Проведение инструктажей по технике безопасности']",,
Основы экологической безопасности,экология безопасность окружающая среда защита природа нормативы требования охрана экосистема,"['Оценка агротехнического и эколого-токсикологического состояния почв', 'Охрана окружающей среды и экологической безопасности', 'Организация и проведение внутреннего аудита']",,
Экологиялық қауіпсіздік негіздері,экология безопасность окружающая среда защита природа нормативы требования охрана экосистема,"['Оценка агротехнического и эколого-токсикологического состояния почв', 'Охрана окружающей среды и экологической безопасности', 'Организация и проведение внутреннего аудита']",,
Методист организации образования,методист образование педагогика методика обучение программа развитие школа учебный процесс,"['Организационно-методическое обеспечение работы', 'Оказание методической помощи']",,
Білім беру ұйымының әдіскері,методист образование педагогика методика обучение программа развитие школа учебный процесс,"['Организационно-методическое обеспечение работы', 'Оказание методической помощи']",,
Работа с детьми дошкольного возраста,дошкольное образование дети развитие воспитание педагогика психология методика игры обучение,"['Проведение воспитательных мероприятий', 'Проведение занятия для творческого развития детей', 'Сотрудничество с родителями, социальными партнерами']",,
Мектеп жасына дейінгі балалармен жұмыс,дошкольное образование дети развитие воспитание педагогика психология методика игры обучение,"['Проведение воспитательных мероприятий', 'Проведение занятия для творческого развития детей', 'Сотрудничество с родителями, социальными партнерами']",,
Техника эффективных продаж,продажи техника навыки клиенты переговоры эффективность бизнес менеджмент стратегия,"['Анализ выполнения плана продаж', 'Заключение и ведение договоров с партнерами и клиентами по продаже', 'Умение продвигать товары и\xa0услуги']",,
Тиімді сату техникасы,продажи техника навыки клиенты переговоры эффективность бизнес менеджмент стратегия,"['Анализ выполнения плана продаж', 'Заключение и ведение договоров с партнерами и клиентами по продаже', 'Умение продвигать товары и\xa0услуги']",,
Управление продажами с использованием цифровых технологий,digital продажи управление crm автоматизация технологии менеджмент бизнес аналитика,"['Анализ выполнения плана продаж', 'Ведение переговоров с потенциальными покупателями', 'Умение продвигать товары и\xa0услуги']",,
Менеджер современного склада,склад логистика управление товар учет автоматизация wms менеджмент инвентаризация,"['Выгрузка, погрузка и внутри складская переработка груза', 'Выдача со склада товарно-материальных ценностей']",,
Гиперактивті балаға қалай көмектесеміз?,гиперактивный ребенок adhd психология педагогика развитие поведение внимание помощь,[],,
Менеджер по транспортной логистике,логистика транспорт менеджмент перевозки управление цепи поставок грузоперевозки организация,"['Ведение электронной базы данных', 'Логистическая деятельность', 'Оптимизация логистических процессов']",,
Закупки в производственной и коммерческой деятельности,закупки снабжение поставки производство коммерция менеджмент управление поставщики,"['Обработка результатов закупки, заключение контракта', 'Составление планов и обоснование закупок', 'Проведение закупок товаров и услуг']",,
Мастер продаж,продажи мастер sales техника клиенты переговоры бизнес менеджмент обучение,"['Продажа непродовольственных товаров', 'Продажа продовольственных товаров', 'Консультирование по вопросам характеристик товара']",,
Сату шебері,продажи мастер sales техника клиенты переговоры бизнес менеджмент обучение,"['Продажа непродовольственных товаров', 'Продажа продовольственных товаров', 'Консультирование по вопросам характеристик товара']",,
Көлік логистикасының менеджері,логистика транспорт менеджмент перевозки управление цепи поставок грузоперевозки организация,"['Ведение электронной базы данных', 'Логистическая деятельность', 'Оптимизация логистических процессов']",,
Заманауи қойма менеджері,склад логистика управление товар учет автоматизация wms менеджмент инвентаризация,"['Выгрузка, погрузка и внутри складская переработка груза', 'Выдача со склада товарно-материальных ценностей']",,
Қайткенде бала жаңа ақпаратты тез қабылдайды?,детская психология обучение развитие память восприятие информации методика образование когнитивные способности мышление концентрация внимания эффективное обучение мнемотехника развитие памяти скорочтение образовательные технологии методы запоминания развивающие игры познавательная активность мотивация учебная деятельность интеллектуальное развитие,[],,
Организация деятельности офиса,офис организация управление менеджмент документооборот администрирование делопроизводство,"['Учет и регистрация документов', 'Ведение делопроизводства', 'Организация работы офиса']",,
Кеңсе қызметін ұйымдастыру,офис организация управление менеджмент документооборот администрирование делопроизводство,"['Учет и регистрация документов', 'Ведение делопроизводства', 'Организация работы офиса']",,
Телефонное консультирование,консультирование телефон коммуникация клиенты сервис обслуживание поддержка общение,"['Прием и распределение входящих звонков', 'Информационно-справочное консультирование клиентов', 'Информационно-справочная поддержка клиентов']",,
Телефон арқылы кеңес беру,консультирование телефон коммуникация клиенты сервис обслуживание поддержка общение,"['Прием и распределение входящих звонков', 'Информационно-справочное консультирование клиентов', 'Информационно-справочная поддержка клиентов']",,
Обслуживание и ремонт котельных агрегатов,котельные ремонт обслуживание оборудование техника эксплуатация теплотехника энергетика,"['Контроль состояния оборудования теплоподачи', 'Осмотр и подготовка котельного агрегата к работе', 'Контроль исправного состояния котла (котлов) и оборудования котельной']",,
Өндірістік және коммерциялық қызметтегі сатып алулар,закупки снабжение поставки производство коммерция менеджмент управление поставщики,"['Обработка результатов закупки, заключение контракта', 'Составление планов и обоснование закупок', 'Проведение закупок товаров и услуг']",,
Техника финансового риск-менеджмента,риск менеджмент финансы управление анализ стратегия планирование оценка рисков,"['Анализ степени риска', 'Составление стратегии с учетом риск  - менеджмента', 'Аналитика бизнес-процессов']",,
Агрессиямен күрес,агрессия психология поведение конфликт управление эмоции стресс помощь терапия,[],,
Қаржылық тәуекел-менеджмент техникасы,риск менеджмент финансы управление анализ стратегия планирование оценка рисков,"['Анализ степени риска', 'Составление стратегии с учетом риск  - менеджмента', 'Аналитика бизнес-процессов']",,
Кадровая служба современной организации,кадры hr управление персонал документация учет организация трудоустройство менеджмент,"['Ведение и составление документов', 'Решение вопросов кадрового обеспечения']",,
Қазіргі заманғы ұйымның кадр қызметі,кадры hr управление персонал документация учет организация трудоустройство менеджмент,"['Ведение и составление документов', 'Решение вопросов кадрового обеспечения']",,
Қазандық қондырғыларына қызмет көрсету және жөндеу,теплоснабжение системы ремонт обслуживание отопление техника эксплуатация энергетика,"['Контроль состояния оборудования теплоподачи', 'Осмотр и подготовка котельного агрегата к работе', 'Контроль исправного состояния котла (котлов) и оборудования котельной']",,
Ұл мен қыз тәрбиесіндегі айырмашылықтар,воспитание дети психология педагогика методика развитие обучение гендерные особенности,[],,
Цифрлық технологияларды қолдана отырып сатуды басқару,управление продажами менеджмент цифровые технологии digital sales автоматизация продаж crm системы воронка продаж аналитика продаж kpi эффективность продаж управление клиентами маркетинг онлайн продажи электронная коммерция цифровая трансформация бизнес процессы управление данными,"['Анализ выполнения плана продаж', 'Ведение переговоров с потенциальными покупателями', 'Умение продвигать товары и\xa0услуги']",,
"Монтаж, наладка и эксплуатация электрооборудования и линий электропередач",электрооборудование монтаж наладка эксплуатация линии электропередач энергетика ремонт,"['Безопасное выполнение монтажных и демонтажных работ', 'Монтаж, сборка и регулировка электрооборудования']",,
"Электр жабдықтары мен электр беру желілерін монтаждау, баптау және пайдалану",электрооборудование монтаж наладка эксплуатация линии электропередач энергетика ремонт,"['Безопасное выполнение монтажных и демонтажных работ', 'Монтаж, сборка и регулировка электрооборудования']",,
Обслуживание и ремонт систем теплоснабжения,теплоснабжение системы ремонт обслуживание отопление техника эксплуатация энергетика,"['Выполнение слесарных работ', 'Ремонт оборудования, трубопроводов и арматуры тепловых сетей', 'ТО сложных узлов и механизмов машин и аппаратов, агрегатов, технологических трубопроводов']",,
Жылумен жабдықтау жүйелеріне қызмет көрсету және жөндеу,теплоснабжение системы ремонт обслуживание отопление техника эксплуатация энергетика,"['Выполнение слесарных работ', 'Ремонт оборудования, трубопроводов и арматуры тепловых сетей', 'ТО сложных узлов и механизмов машин и аппаратов, агрегатов, технологических трубопроводов']",,
Баланың зейінін ашу тәсілдері,детская психология развитие внимания методика обучения познавательные способности концентрация внимания развивающие игры дошкольное образование,[],,
